"Date","Year","variable","value"
2016-12-01,2016,"Mortality biomass",14.551
2016-11-01,2016,"Mortality biomass",25.086
2016-10-01,2016,"Mortality biomass",52.598
2016-09-01,2016,"Mortality biomass",44.799
2016-08-01,2016,"Mortality biomass",21.361
2016-07-01,2016,"Mortality biomass",2.369
2016-06-01,2016,"Mortality biomass",1.2549
2016-05-01,2016,"Mortality biomass",1.5867
2016-04-01,2016,"Mortality biomass",1.4805
2016-03-01,2016,"Mortality biomass",1.9673
2016-02-01,2016,"Mortality biomass",1.7451
2016-01-01,2016,"Mortality biomass",2.3571
2015-12-01,2015,"Mortality biomass",0.9115
2015-11-01,2015,"Mortality biomass",0.3794
2015-10-01,2015,"Mortality biomass",0.1976
2015-09-01,2015,"Mortality biomass",0
2015-08-01,2015,"Mortality biomass",0
2015-07-01,2015,"Mortality biomass",0
2015-06-01,2015,"Mortality biomass",0
2015-05-01,2015,"Mortality biomass",1.6973
2015-04-01,2015,"Mortality biomass",2.8246
2015-03-01,2015,"Mortality biomass",4.126
2015-02-01,2015,"Mortality biomass",3.6302
2015-01-01,2015,"Mortality biomass",1.8493
2014-12-01,2014,"Mortality biomass",3.0035
2014-11-01,2014,"Mortality biomass",1.6439
2014-10-01,2014,"Mortality biomass",1.1688
2014-09-01,2014,"Mortality biomass",0.531
2014-08-01,2014,"Mortality biomass",0.4531
2014-07-01,2014,"Mortality biomass",0.313
2014-06-01,2014,"Mortality biomass",0.4792
2014-05-01,2014,"Mortality biomass",0.3629
2014-04-01,2014,"Mortality biomass",0.6051
2014-03-01,2014,"Mortality biomass",1.0526
2014-02-01,2014,"Mortality biomass",0.5547
2014-01-01,2014,"Mortality biomass",0.3661
2013-12-01,2013,"Mortality biomass",0.3113
2013-11-01,2013,"Mortality biomass",0.0594
2013-10-01,2013,"Mortality biomass",0.1624
2013-09-01,2013,"Mortality biomass",0
2013-08-01,2013,"Mortality biomass",0
2013-07-01,2013,"Mortality biomass",0
2013-06-01,2013,"Mortality biomass",0
2013-05-01,2013,"Mortality biomass",0.1614
2013-04-01,2013,"Mortality biomass",1.144
2013-03-01,2013,"Mortality biomass",2.608
2013-02-01,2013,"Mortality biomass",2.496
2013-01-01,2013,"Mortality biomass",4.415
2016-12-01,2016,"Total biomass",1019
2016-11-01,2016,"Total biomass",918
2016-10-01,2016,"Total biomass",874
2016-09-01,2016,"Total biomass",807
2016-08-01,2016,"Total biomass",747
2016-07-01,2016,"Total biomass",593
2016-06-01,2016,"Total biomass",406
2016-05-01,2016,"Total biomass",289
2016-04-01,2016,"Total biomass",226
2016-03-01,2016,"Total biomass",249
2016-02-01,2016,"Total biomass",188
2016-01-01,2016,"Total biomass",144
2015-12-01,2015,"Total biomass",99
2015-11-01,2015,"Total biomass",76
2015-10-01,2015,"Total biomass",35
2015-09-01,2015,"Total biomass",0
2015-08-01,2015,"Total biomass",0
2015-07-01,2015,"Total biomass",0
2015-06-01,2015,"Total biomass",119
2015-05-01,2015,"Total biomass",119
2015-04-01,2015,"Total biomass",648
2015-03-01,2015,"Total biomass",988
2015-02-01,2015,"Total biomass",1174
2015-01-01,2015,"Total biomass",1210
2014-12-01,2014,"Total biomass",1336
2014-11-01,2014,"Total biomass",1315
2014-10-01,2014,"Total biomass",1220
2014-09-01,2014,"Total biomass",983
2014-08-01,2014,"Total biomass",764
2014-07-01,2014,"Total biomass",697
2014-06-01,2014,"Total biomass",525
2014-05-01,2014,"Total biomass",397
2014-04-01,2014,"Total biomass",292
2014-03-01,2014,"Total biomass",227
2014-02-01,2014,"Total biomass",224
2014-01-01,2014,"Total biomass",168
2013-12-01,2013,"Total biomass",126
2013-11-01,2013,"Total biomass",80
2013-10-01,2013,"Total biomass",45
2013-09-01,2013,"Total biomass",0
2013-08-01,2013,"Total biomass",0
2013-07-01,2013,"Total biomass",0
2013-06-01,2013,"Total biomass",0
2013-05-01,2013,"Total biomass",152
2013-04-01,2013,"Total biomass",152
2013-03-01,2013,"Total biomass",554
2013-02-01,2013,"Total biomass",1125
2013-01-01,2013,"Total biomass",1048
2016-12-01,2016,"Feed",136.773
2016-11-01,2016,"Feed",126.356
2016-10-01,2016,"Feed",137.827
2016-09-01,2016,"Feed",99.407
2016-08-01,2016,"Feed",169.95
2016-07-01,2016,"Feed",177.717
2016-06-01,2016,"Feed",107.611
2016-05-01,2016,"Feed",66.966
2016-04-01,2016,"Feed",56.098
2016-03-01,2016,"Feed",54.97
2016-02-01,2016,"Feed",44.818
2016-01-01,2016,"Feed",44.417
2015-12-01,2015,"Feed",30.504
2015-11-01,2015,"Feed",29.407
2015-10-01,2015,"Feed",4.329
2015-09-01,2015,"Feed",0
2015-08-01,2015,"Feed",0
2015-07-01,2015,"Feed",0
2015-06-01,2015,"Feed",0
2015-05-01,2015,"Feed",50.718
2015-04-01,2015,"Feed",89.286
2015-03-01,2015,"Feed",106.128
2015-02-01,2015,"Feed",148.319
2015-01-01,2015,"Feed",165.546
2014-12-01,2014,"Feed",210.721
2014-11-01,2014,"Feed",238.535
2014-10-01,2014,"Feed",247.93
2014-09-01,2014,"Feed",220.117
2014-08-01,2014,"Feed",197.63
2014-07-01,2014,"Feed",174.835
2014-06-01,2014,"Feed",129.719
2014-05-01,2014,"Feed",95.556
2014-04-01,2014,"Feed",66.277
2014-03-01,2014,"Feed",50.722
2014-02-01,2014,"Feed",48.741
2014-01-01,2014,"Feed",47.993
2013-12-01,2013,"Feed",39.65
2013-11-01,2013,"Feed",22.665
2013-10-01,2013,"Feed",8.479
2013-09-01,2013,"Feed",0
2013-08-01,2013,"Feed",0
2013-07-01,2013,"Feed",0
2013-06-01,2013,"Feed",0
2013-05-01,2013,"Feed",0
2013-04-01,2013,"Feed",19.143
2013-03-01,2013,"Feed",67.496
2013-02-01,2013,"Feed",123.801
2013-01-01,2013,"Feed",150.153
